De,,Para,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PORTARIA N. 47, DE 14 DE FEVEREIRO DE 2020. DO ARQUIVO NACIONAL (REVOGADA)",,PORTARIA AN/MGI Nº 174/2024 (EM VIGOR) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,DESCRITOR DO CÓDIGO,CÓDIGO,DESCRITOR DO CÓDIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020.11,Servidores e empregados públicos (Assentamento funcional),020.11,Servidores e empregados públicos (Assentamento funcional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020.12,Servidores temporários (Assentamento funcional),020.12,Servidores temporários (Assentamento funcional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020.13,Residentes e estagiários (Assentamento funcional),020.13,Residentes e estagiários (Assentamento funcional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020.14,Ocupantes de cargo comissionado e de função de confiança (Assentamento funcional),020.14,Ocupantes de cargo comissionado e de função de confiança (Assentamento funcional),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021,Recrutamento e seleção,021,Recrutamento e seleção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021.2,Inscrição (Recrutamento e seleção),021.2,Inscrição (Recrutamento e seleção),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021.1,Planejamento do processo seletivo (Recrutamento e seleção),021.1,Planejamento do processo seletivo (Recrutamento e seleção),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021.3,Controle de aplicação de provas (Recrutamento e seleção),021.3,Controle de aplicação de provas (Recrutamento e seleção),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021.4,Correção de provas. Avaliação (Recrutamento e seleção),021.4,Correção de provas. Avaliação (Recrutamento e seleção),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021.5,Divulgação dos resultados e interposição de recursos (Recrutamento e seleção),021.5,Divulgação dos resultados e interposição de recursos (Recrutamento e seleção),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024,Capacitação do servidor,024,Capacitação do servidor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.1,Promoção de cursos pelo órgão e entidade,024.1,Promoção de cursos pelo órgão e entidade (Capacitação do servidor),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
024.11,Programação (Promoção de cursos pelo órgão e entidade),024.11,Programação (Promoção de cursos pelo órgão e entidade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
