De,,Para,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PORTARIA N. 47, DE 14 DE FEVEREIRO DE 2020. DO ARQUIVO NACIONAL (REVOGADA)",,PORTARIA AN/MGI Nº 174/2024 (EM VIGOR) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,DESCRITOR DO CÓDIGO,CÓDIGO,DESCRITOR DO CÓDIGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028.2,No exterior (Cumprimento de missões e viagens a serviço),028.2,No exterior (Cumprimento de missões e viagens a serviço),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028.23,Sem ônus (Cumprimento de missões e viagens a serviço),028.23,Sem ônus (Cumprimento de missões e viagens a serviço),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028.21,Com ônus (Cumprimento de missões e viagens a serviço),028.21,Com ônus (Cumprimento de missões e viagens a serviço),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
028.22,Com ônus limitado (Cumprimento de missões e viagens a serviço),028.22,Com ônus limitado (Cumprimento de missões e viagens a serviço),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029.3,Incentivos funcionais,029.3,Incentivos funcionais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029.3,Incentivos funcionais,029.3,Incentivos funcionais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029.4,Delegação de competência e procuração,029.4,Delegação de competência e procuração,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
029.5,Contratação de serviços profissionais transitórios,018.2,Contratação de pessoa física (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.21,Representação judicial (Atuação em contencioso),004.21,Representação judicial (Atuação em contencioso),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.22,Representação extrajudicial (Atuação em contencioso),004.22,Representação extrajudicial (Atuação em contencioso),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020.032,Movimentos reivindicatórios. Greves. Paralisações,020.032,Movimentos reivindicatórios. Greves. Paralisações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030,Gestão de materiais,030,Gestão de materiais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030.01,Normatização. Regulamentação,030.01,Normatização. Regulamentação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030.02,Cadastramento de fornecedores e de prestadores de serviços,030.02,Cadastramento de fornecedores e de prestadores de serviços,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
030.03,"Especificação, padronização, codificação, previsão, identificação e classificação",030.03,"Especificação, padronização, codificação, previsão, identificação e classificação",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069.2,Fornecimento de cópias de documentos,069.2,Fornecimento de cópias de documentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031,Aquisição e incorporação,031,Aquisição e incorporação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031.11,Material permanente (Compra / Aquisição e incorporação),031.11,Material permanente (Compra / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031.1,Compra (Aquisição e incorporação),031.1,Compra (Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031.41,"Material permanente (Cessão, comodato e empréstimo / Aquisição e incorporação)",031.41,"Material permanente (Cessão, comodato e empréstimo / Aquisição e incorporação)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031.5,Locação. Arrendamento mercantil (leasing) (Aquisição e incorporação),031.5,Locação. Arrendamento mercantil (leasing) (Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031.21,Material permanente (Doação e permuta / Aquisição e incorporação),031.21,Material permanente (Doação e permuta / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031.12,Material de consumo (Compra / Aquisição e incorporação),031.12,Material de consumo (Compra / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031.22,Material de consumo (Doação e permuta / Aquisição e incorporação),031.22,Material de consumo (Doação e permuta / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
031.42,"Material de consumo (Cessão, comodato e empréstimo / Aquisição e incorporação)",031.42,"Material de consumo (Cessão, comodato e empréstimo / Aquisição e incorporação)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
034,Contratação de prestação de serviços,018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032,Movimentação de material,032,Movimentação de material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032.01,Termo de responsabilidade. Cautela (Movimentação de material),032.01,Termo de responsabilidade. Cautela (Movimentação de material),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032.1,Controle de estoque (Movimentação de material),032.1,Controle de estoque (Movimentação de material),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033.6,"Extravio, roubo, desaparecimento, furto e avaria (Alienação e baixa)",033.6,"Extravio, roubo, desaparecimento, furto e avaria (Alienação e baixa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032.2,Autorização de entrada e saída de material (Movimentação de material),032.2,Autorização de entrada e saída de material (Movimentação de material),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
032.3,Recolhimento de material ao depósito (Movimentação de material),032.3,Recolhimento de material ao depósito (Movimentação de material),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033,Alienação e baixa,033,Alienação e baixa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033.11,Material permanente (Alienação e baixa),033.11,Material permanente (Alienação e baixa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033.12,Material de consumo (Alienação e baixa),033.12,Material de consumo (Alienação e baixa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033.21,Material permanente (Doação e permuta / Alienação e baixa),033.21,Material permanente (Doação e permuta / Alienação e baixa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033.22,Material de consumo (Doação e permuta / Alienação e baixa),033.22,Material de consumo (Doação e permuta / Alienação e baixa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033.51,"Material permanente (Cessão, comodato e empréstimo / Alienação e baixa)",033.51,"Material permanente (Cessão, comodato e empréstimo / Alienação e baixa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
033.52,"Material de consumo (Cessão, comodato e empréstimo / Alienação e baixa)",033.52,"Material de consumo (Cessão, comodato e empréstimo / Alienação e baixa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
035,Execução de serviços de instalação e manutenção,035,Execução de serviços de instalação e manutenção,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036,Controle de materiais,036,Controle de materiais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036.1,Inventário de material permanente (Controle de materiais),036.1,Inventário de material permanente (Controle de materiais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
036.2,Inventário de material de consumo (Controle de materiais),036.2,Inventário de material de consumo (Controle de materiais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039,Outras ações referentes à gestão de material,039,Outras ações referentes à gestão de material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
039.2,Empréstimo e devolução de material permanente (Outras ações referentes à gestão de materiais),039.2,Empréstimo e devolução de material permanente (Outras ações referentes à gestão de materiais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040,Gestão de bens patrimoniais e de serviços,040,Gestão de bens patrimoniais e de serviços,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
040.01,Normatização. Regulamentação,040.01,Normatização. Regulamentação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043.1,Registro dos imóveis (Administração condominial),043.1,Registro dos imóveis (Administração condominial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.1,Fornecimento de serviços públicos essenciais (Contratação de prestação de serviços),045.1,Fornecimento de serviços públicos essenciais (Contratação de prestação de serviços),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.11,Água e esgotamento sanitário (Fornecimento de serviços públicos essenciais),045.11,Água e esgotamento sanitário (Fornecimento de serviços públicos essenciais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.12,Gás (Fornecimento de serviços públicos essenciais),045.12,Gás (Fornecimento de serviços públicos essenciais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.13,Energia elétrica (Fornecimento de serviços públicos essenciais),045.13,Energia elétrica (Fornecimento de serviços públicos essenciais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049.1,Racionalização do uso de bens e serviços,049.1,Racionalização do uso de bens e serviços,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
005.2,Operacionalização de reuniões (Participação em órgãos colegiados),005.2,Operacionalização de reuniões (Participação em órgãos colegiados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043.2,Serviços de condomínio (Administração condominial),043.2,Serviços de condomínio (Administração condominial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041,Aquisição e incorporação,041,Aquisição e incorporação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.11,Bens imóveis (Compra / Aquisição e incorporação),041.11,Bens imóveis (Compra / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.51,Bens imóveis (Cessão e comodato / Aquisição e incorporação),041.51,Bens imóveis (Cessão e comodato / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.21,Bens imóveis (Doação e permuta / Aquisição e incorporação),041.21,Bens imóveis (Doação e permuta / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.61,"Bens imóveis (Locação, arrendamento mercantil (leasing). Sublocação / Aquisição e incorporação)",041.61,"Bens imóveis (Locação, arrendamento mercantil (leasing). Sublocação / Aquisição e incorporação)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042.6,Bens imóveis (Locação. Arrendamento. Sublocação / Alienação),042.6,Bens imóveis (Locação. Arrendamento. Sublocação / Alienação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,Alienação,042,Alienação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042.11,Bens imóveis (Venda / Alienação),042.11,Bens imóveis (Venda / Alienação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042.51,Bens imóveis (Cessão e comodato / Alienação),042.51,Bens imóveis (Cessão e comodato / Alienação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042.21,Bens imóveis (Doação e permuta / Alienação),042.21,Bens imóveis (Doação e permuta / Alienação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042.4,Desapropriação e desmembramento (Alienação),042.4,Desapropriação e desmembramento (Alienação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043.3,Reintegração de posse. Reivindicação de domínio. Despejo de permissionário (Administração condominial),043.3,Reintegração de posse. Reivindicação de domínio. Despejo de permissionário (Administração condominial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043.4,Tombamento (Administração condominial),043.4,Tombamento (Administração condominial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.3,Execução de obras (Contratação e prestação de serviços),045.3,Execução de obras (Contratação e prestação de serviços),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.32,Reforma. Recuperação. Restauração (Execução de obras / Contratação de prestação de serviços),045.32,Reforma. Recuperação. Restauração (Execução de obras / Contratação de prestação de serviços),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.31,Construção (Execução de obras / Contratação de prestação de serviços),045.31,Construção (Execução de obras / Contratação de prestação de serviços),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.2,Manutenção e reparo das instalações (Contratação de prestação de serviços),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.21,Elevadores (Manutenção e reparo das instalações),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.22,Sistemas centrais de ar-condicionado (Manutenção e reparo das instalações),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.23,Subestações elétricas e geradores (Manutenção e reparo das instalações),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.24,Conservação predial (Manutenção e reparo das instalações),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.1,Compra (Aquisição e incorporação),041.1,Compra (Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.12,Veículos (Compra / Aquisição e incorporação),041.12,Veículos (Compra / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.62,Veículos (Locação. Arrendamento mercantil (leasing). Sublocação / Aquisição e incorporação),041.62,Veículos (Locação. Arrendamento mercantil (leasing). Sublocação / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.22,Veículos (Doação e permuta / Aquisição e incorporação),041.22,Veículos (Doação e permuta / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.52,Veículos (Cessão e comodato / Aquisição e incorporação),041.52,Veículos (Cessão e comodato / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044.1,"Cadastramento, licenciamento e emplacamento (Administração da frota de veículos)",044.1,"Cadastramento, licenciamento e emplacamento (Administração da frota de veículos)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044.2,Tombamento (Administração da frota de veículos),044.2,Tombamento (Administração da frota de veículos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042,Alienação,042,Alienação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042.12,Veículos (Venda / Alienação),042.12,Veículos (Venda / Alienação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042.22,Veículos (Doação e permuta / Alienação),042.22,Veículos (Doação e permuta / Alienação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042.52,Veículos (Cessão e comodato / Alienação),042.52,Veículos (Cessão e comodato / Alienação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.5,Abastecimento e manutenção de veículos (Contratação de prestação de serviços),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044.3,Ocorrência de sinistros (Administração da frota de veículos),044.3,Ocorrência de sinistros (Administração da frota de veículos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044.6,Notificações de infrações e multas (Administração da frota de veículos),044.6,Notificações de infrações e multas (Administração da frota de veículos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044.4,Controle de uso (Administração da frota de veículos),044.4,Controle de uso (Administração da frota de veículos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
044.5,Estacionamento. Garagem (Administração da frota de veículos),044.5,Estacionamento. Garagem (Administração da frota de veículos),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.13,Bens semoventes (Compra / Aquisição e incorporação),041.13,Bens semoventes (Compra / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.23,Bens semoventes (Doação e permuta / Aquisição e incorporação),041.23,Bens semoventes (Doação e permuta / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.4,Procriação (Aquisição e incorporação),041.4,Procriação (Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
041.53,Bens semoventes (Cessão e comodato / Aquisição e incorporação),041.53,Bens semoventes (Cessão e comodato / Aquisição e incorporação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042.13,Bens semoventes (Venda / Alienação),042.13,Bens semoventes (Venda / Alienação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042.23,Bens semoventes (Doação e permuta / Alienação),042.23,Bens semoventes (Doação e permuta / Alienação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042.53,Bens semoventes (Cessão e comodato / Alienação),042.53,Bens semoventes (Cessão e comodato / Alienação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
042.72,Bens semoventes (Baixa. Desfazimento / Alienação),042.72,Bens semoventes (Baixa. Desfazimento / Alienação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.6,Assistência veterinária (Contratação de prestação de serviços),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.7,Adestramento (Contratação de prestação de serviços),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047.01,Comissão de inventário (Controle de bens patrimoniais),047.01,Comissão de inventário (Controle de bens patrimoniais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047.1,Inventário de bens imóveis (Controle de bens patrimoniais),047.1,Inventário de bens imóveis (Controle de bens patrimoniais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047.2,Inventário de veículos (Controle de bens patrimoniais),047.2,Inventário de veículos (Controle de bens patrimoniais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
047.3,Inventário de bens semoventes (Controle de bens patrimoniais),047.3,Inventário de bens semoventes (Controle de bens patrimoniais),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
049,Outras ações referentes à gestão de bens patrimoniais e de serviços,049,Outras ações referentes à gestão de bens patrimoniais e de serviços,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.4,Vigilância patrimonial (Contratação de prestação de serviços),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046.2,"Monitoramento. Vigilância (Proteção, guarda e segurança patrimonial)",046.2,"Monitoramento. Vigilância (Proteção, guarda e segurança patrimonial)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046.2,"Monitoramento. Vigilância (Proteção, guarda e segurança patrimonial)",046.2,"Monitoramento. Vigilância (Proteção, guarda e segurança patrimonial)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
045.01,Seguro patrimonial (Contratação de prestação de serviços),018.1,Contratação de pessoa jurídica (Organização e Funcionamento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046.11,"Planejamento, elaboração e acompanhamento de projetos (Prevenção de incêndio / Proteção, guarda e segurança patrimonial)",046.11,"Planejamento, elaboração e acompanhamento de projetos (Prevenção de incêndio / Proteção, guarda e segurança patrimonial)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046.12,"Constituição de brigada voluntária (Prevenção de incêndio / Proteção, guarda e segurança patrimonial)",046.12,"Constituição de brigada voluntária (Prevenção de incêndio / Proteção, guarda e segurança patrimonial)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046.13,"Instalação e manutenção de equipamentos de combate a incêndio (Prevenção de incêndio / Proteção, guarda e segurança patrimonial)",046.13,"Instalação e manutenção de equipamentos de combate a incêndio (Prevenção de incêndio / Proteção, guarda e segurança patrimonial)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046.3,"Ocorrência de sinistros (Proteção, guarda e segurança patrimonial)",046.3,"Ocorrência de sinistros (Proteção, guarda e segurança patrimonial)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
046.4,"Controle de portaria (Proteção, guarda e segurança patrimonial)",046.4,"Controle de portaria (Proteção, guarda e segurança patrimonial)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043.6,Mudança (Administração condominial),043.6,Mudança (Administração condominial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043.61,Para outros imóveis (Mudança / Administração condominial),043.61,Para outros imóveis (Mudança / Administração condominial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043.62,Dentro do mesmo imóvel (Mudança / Administração condominial),043.62,Dentro do mesmo imóvel (Mudança / Administração condominial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
043.7,Uso de dependências (Administração condominial),043.7,Uso de dependências (Administração condominial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
050,Gestão orçamentária e financeira,050,Gestão orçamentária e financeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054.1,Prestação de contas. Tomada de contas (Controle externo. Auditoria externa),054.1,Prestação de contas. Tomada de contas (Controle externo. Auditoria externa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054.2,Tomada de contas especial (Controle externo. Auditoria externa),054.2,Tomada de contas especial (Controle externo. Auditoria externa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051,Gestão orçamentária,051,Gestão orçamentária,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051.1,Programação orçamentária (Gestão orçamentária),051.1,Programação orçamentária (Gestão orçamentária),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051.2,Detalhamento de despesa (Gestão orçamentária),051.2,Detalhamento de despesa (Gestão orçamentária),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051.4,Retificação orçamentária. Créditos adicionais (Gestão orçamentária),051.4,Retificação orçamentária. Créditos adicionais (Gestão orçamentária),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
051.3,Execução orçamentária (Gestão orçamentária),051.3,Execução orçamentária (Gestão orçamentária),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052,Gestão financeira,052,Gestão financeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052.1,Programação financeira (Gestão financeira),052.1,Programação financeira (Gestão financeira),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052.2,Execução financeira (Gestão financeira),052.2,Execução financeira (Gestão financeira),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052.211,Receita corrente (Receita / Execução financeira),052.211,Receita corrente (Receita / Execução financeira),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052.212,Receita de capital (Receita / Execução financeira),052.212,Receita de capital (Receita / Execução financeira),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052.213,Ingresso extraorçamentário (Receita / Execução financeira),052.213,Ingresso extraorçamentário (Receita / Execução financeira),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052.221,Despesa corrente (Despesa / Execução financeira),052.221,Despesa corrente (Despesa / Execução financeira),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052.222,Despesa de capital (Despesa / Execução financeira),052.222,Despesa de capital (Despesa / Execução financeira),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052.24,Gestão de fundos especiais (Execução financeira),052.24,Gestão de fundos especiais (Execução financeira),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052.251,"Financeiros (Concessão de benefícios, estímulos e incentivos / Execução financeira)",052.251,"Financeiros (Concessão de benefícios, estímulos e incentivos / Execução financeira)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052.252,"Creditícios (Concessão de benefícios, estímulos e incentivos / Execução financeira)",052.252,"Creditícios (Concessão de benefícios, estímulos e incentivos / Execução financeira)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053,Operação bancária,053,Operação bancária,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053.1,Pagamento em moeda estrangeira (Operação bancária),053.1,Pagamento em moeda estrangeira (Operação bancária),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053.2,Gestão da conta única (Operação bancária),053.2,Gestão da conta única (Operação bancária),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
053.3,"Gestão das contas correntes bancárias: tipo A, B, C, D e E (Operação bancária)",053.3,"Gestão das contas correntes bancárias: tipo A, B, C, D e E (Operação bancária)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
052.23,Demonstração contábil (Execução financeira),052.23,Demonstração contábil (Execução financeira),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054.1,Prestação de contas. Tomada de contas (Controle externo. Auditoria externa),054.1,Prestação de contas. Tomada de contas (Controle externo. Auditoria externa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
054.2,Tomada de contas especial (Controle externo. Auditoria externa),054.2,Tomada de contas especial (Controle externo. Auditoria externa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059,Outras ações referentes à gestão orçamentária e financeira,059,Outras ações referentes à gestão orçamentária e financeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059.1,Compra e subscrição de ações,059.1,Compra e subscrição de ações,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059.3,Fixação de custos de serviços,059.3,Fixação de custos de serviços,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059.4,Devolução ao erário,059.4,Devolução ao erário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059.5,Restituição de rendas arrecadadas,059.5,Restituição de rendas arrecadadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
059.2,"Recolhimento de tributos, impostos e taxas",059.2,"Recolhimento de impostos, taxas e demais tributos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060,Gestão da documentação e da informação,060,Gestão da documentação e da informação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069.3,Publicação de matérias (Outras ações referentes à gestão da documentação e da informação),069.3,Publicação de matérias (Outras ações referentes à gestão da documentação e da informação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
069.3,Publicação de matérias (Outras ações referentes à gestão da documentação e da informação),069.3,Publicação de matérias (Outras ações referentes à gestão da documentação e da informação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065.1,Edição. Coedição (Produção editorial),065.1,Edição. Coedição (Produção editorial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065.2,Editoração e programação visual (Produção editorial),065.2,Editoração e programação visual (Produção editorial),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
065.3,"Promoção, divulgação e distribuição (Produção editorial)",065.3,"Promoção, divulgação e distribuição (Produção editorial)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062,Gestão de acervos bibliográfico e museológico,062,Gestão de acervos bibliográfico e museológico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
060.01,Normatização. Regulamentação (Gestão da documentação e da informação),060.01,Normatização. Regulamentação (Gestão da documentação e da informação),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062.1,Aquisição e incorporação,062.1,Aquisição e incorporação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
062.11,Compra (Aquisição e incorporação / Gestão de acervos bibliográfico e museológico),062.11,Compra (Aquisição e incorporação / Gestão de acervos bibliográfico e museológico),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
